# IMU数据（从gnss-ins-sim转换）
# 坐标系: NED（北-东-地）
# timestamp gyro_x gyro_y gyro_z accel_x accel_y accel_z
# 单位: s, rad/s, rad/s, rad/s, m/s^2, m/s^2, m/s^2
0.520000 -0.0008348595 -0.0002231990 -0.0007377189 -0.0101878147 0.0044827941 -9.7911590627
0.530000 -0.0009890390 0.0000754503 0.0001578547 0.0012949517 -0.0008705779 -9.7926026564
0.540000 0.0004245143 -0.0001328519 -0.0011213819 0.0068336027 -0.0035541335 -9.7859440265
0.550000 0.0013469727 0.0004796372 -0.0016858906 -0.0006259761 -0.0026856515 -9.8039009194
0.560000 0.0004431361 0.0001367772 0.0006100693 0.0058125722 -0.0003722269 -9.7954121335
0.570000 -0.0006674953 0.0006498253 0.0003565397 0.0005892336 0.0061938671 -9.7933217739
0.580000 0.0003199686 0.0006570032 -0.0005095362 -0.0041381550 -0.0029758840 -9.8007854161
0.590000 0.0010408380 0.0006915912 0.0007393325 -0.0004676650 -0.0039032790 -9.7943172583
0.600000 0.0001016571 0.0005474815 0.0004416917 0.0009714902 -0.0049656765 -9.7911900327
0.610000 -0.0007013165 -0.0014499674 0.0005481056 0.0014720957 -0.0000744934 -9.7915853981
0.620000 -0.0007627327 -0.0006843816 -0.0010131146 -0.0009890112 0.0000170177 -9.8003025477
0.630000 0.0008798173 0.0008163288 0.0010530512 0.0008503747 -0.0078677277 -9.7965093597
0.640000 -0.0000894786 -0.0002828783 -0.0008784397 -0.0039240659 -0.0017771801 -9.7932589146
0.650000 -0.0007907124 0.0004974963 0.0005591682 0.0063545137 0.0034659487 -9.7897377177
0.660000 0.0008566025 0.0002933614 -0.0005336908 -0.0005124293 -0.0038060367 -9.7940345177
0.670000 -0.0006414550 0.0000756320 0.0004480355 -0.0006556196 0.0051081560 -9.7958851084
0.680000 0.0001986617 -0.0012678310 0.0001938898 0.0027502373 -0.0055096996 -9.7946430684
0.690000 -0.0006529841 0.0001719251 0.0009829601 0.0060630469 -0.0073936374 -9.7961785060
0.700000 -0.0008311508 0.0002705412 -0.0005134750 -0.0078619443 -0.0049430993 -9.8050312868
0.710000 0.0003044941 -0.0005450819 -0.0000780776 0.0006788764 -0.0065829116 -9.8062985877
0.720000 -0.0004173779 -0.0000971765 0.0002148585 -0.0040445185 0.0086050491 -9.7914176539
0.730000 0.0002814986 0.0000769942 -0.0005495115 -0.0012842731 0.0009224183 -9.7967523313
0.740000 -0.0005300339 0.0001203515 -0.0001306009 0.0032886257 0.0041719766 -9.7975288009
0.750000 0.0009139189 0.0002785420 -0.0002840120 -0.0007652750 -0.0019897247 -9.7935006082
0.760000 -0.0000994049 0.0010770250 0.0004314664 0.0050159757 -0.0025462785 -9.7930859845
0.770000 -0.0008243234 -0.0000820176 0.0000559506 -0.0031515245 -0.0076290309 -9.7945348730
