elevation_1,elevation_2,elevation_3,elevation_4,elevation_5,elevation_6,elevation_7,elevation_8
14.048599767371655,71.83689413263937,46.800618643032365,65.66092371142224,67.86914509127024,46.03138879364765,47.557965068380774,47.323630111057376
14.046142341874328,71.83916948972336,46.78799707500815,65.66439853977461,67.85555296058803,46.04914099940544,47.563279878996774,47.33936465164396
14.046870575734628,71.82849271396397,46.78332312989882,65.65773872137693,67.8588731872956,46.04212907213756,47.56405618531085,47.35101203734034
14.042975378517278,71.84540531529538,46.788227811691186,65.65927829515871,67.83612409298645,46.04649537061557,47.562429507976354,47.35808053646813
14.048359271401297,71.832187568919,46.784602452080264,65.66107622178694,67.85424676218125,46.066394166045676,47.56538860802919,47.34364534174651
14.055132619947042,71.82090074812203,46.786366499267295,65.6537082463163,67.86275705469218,46.07041042247012,47.56788539582724,47.32976441365709
14.035905678445502,71.83092674063619,46.78198172823378,65.6521823842846,67.86126950733603,46.06787300745069,47.571803598696015,47.32443673515235
14.028257429170015,71.82002266431634,46.784412964977996,65.6742082922358,67.86051783043253,46.05952374036977,47.573151007858804,47.32061657707173
14.024377219917536,71.83313927445722,46.765684974384456,65.66740827623039,67.85340004266656,46.071013702590065,47.5606321405698,47.33073438819032
14.017013367452737,71.83582023925581,46.769966784544536,65.65602518791658,67.85629530427927,46.075921980265726,47.572866461943285,47.32727182919214
14.022131010473382,71.84026467625526,46.761242788403976,65.65809073799483,67.83964373114759,46.07840256603512,47.56552835525847,47.31389437819342
14.03245192519514,71.83610636807221,46.767485429112746,65.65662551414783,67.84045696807677,46.07932359143259,47.57141148387608,47.31964323640372
14.00707767813783,71.83691118429361,46.756377678389136,65.64211724422648,67.86585564042629,46.085416943333165,47.58564798108403,47.33212670624635
14.002306913204896,71.84564697199997,46.76411012393414,65.63920682768179,67.86682375692338,46.08348108055674,47.58220333736362,47.34004169760564
13.987793316914374,71.83088417633101,46.75283101362172,65.63582802103743,67.85645997570097,46.07972122552166,47.59090444213993,47.35420916005858
13.970866847324029,71.8270728602031,46.750351833077765,65.62536701187913,67.84633897649657,46.07406434644498,47.59592640145158,47.34378501024208
13.975512499187259,71.82725949641679,46.750192203134866,65.61537120678267,67.86356290795617,46.08630692111971,47.59096332827677,47.35943349235711
13.978761177899008,71.82044929199311,46.73836852197338,65.62300321645152,67.87109919036251,46.07816406185228,47.56693758294064,47.367540374520814
13.991387189031121,71.8295924933606,46.740273230793264,65.62658117885712,67.86758195416597,46.098349083369875,47.56521875973204,47.353878639450386
13.998359386845102,71.82935615358836,46.75547412681179,65.62553357612758,67.8742430143932,46.08486569513408,47.550456675081016,47.3626798728795
14.017080007244548,71.83160185694875,46.751036511534686,65.60900880016952,67.86762683056236,46.092840074326816,47.5359075758934,47.352501865696354
14.013219534871933,71.84135079707592,46.742146995060736,65.62602310481,67.874545988771,46.07840667371586,47.55118424920341,47.347362382754454
14.006470707646228,71.84307971531489,46.75622052224706,65.61621410680885,67.87108376359059,46.07103245140167,47.552211659627766,47.35233825253231
14.003221224001859,71.84280164445269,46.769349007129634,65.62984341469675,67.8757662233211,46.07706075843516,47.549927791156406,47.35234094965649
14.001088727564868,71.84760252620758,46.76493068549635,65.63952808256278,67.87324606109247,46.06464269469285,47.553224810946496,47.35481707070593
13.991404707339195,71.85662616977694,46.75751234499654,65.6523659769617,67.85297172136255,46.06022216918699,47.56618931732945,47.353724926210035
13.989720565429181,71.86798950171115,46.75412002430559,65.64576175897,67.83725688363415,46.0599201890341,47.57433648389637,47.36570768660463
13.974023626839632,71.87057237189913,46.757626667879684,65.64614018089203,67.84595526293201,46.07757974575052,47.58096889564316,47.38353633784451
13.984876793050953,71.87780282136504,46.75930327806071,65.6541671373386,67.83417399952833,46.083693784206645,47.58594260656734,47.38769824338659
13.972337215889326,71.87854172494905,46.76330878627004,65.64727661946128,67.82737808422941,46.08996166081815,47.58085518377277,47.37888384532663
13.985937918769014,71.89251920619522,46.76410399164407,65.64524830587628,67.82810472114458,46.10016839971801,47.58455171553043,47.37140673194836
13.984771559916222,71.89914263083854,46.765490959002236,65.6311148017685,67.81383680394468,46.091321400529154,47.58559681250231,47.37708985655862
13.999920531342681,71.8860474193646,46.75265074112395,65.66020798276803,67.83726961215238,46.10130430830337,47.5999099488354,47.381523874213244
13.994614192808614,71.89169990598332,46.74807376283158,65.66217719002823,67.83504324584908,46.09462694726693,47.608036032148675,47.38091054264002
13.988640930841203,71.86961741639672,46.73751129782003,65.6733857598532,67.84096329351094,46.08478465607084,47.59740667755626,47.387045753815684
13.985584798572946,71.87032989782838,46.74079626646868,65.69455188322817,67.82325142938826,46.08221257535066,47.59634682105589,47.38247471451314
13.978463488437633,71.87074785475525,46.734760263234605,65.67705534074234,67.81697870664537,46.084220188762565,47.589430562270195,47.382104310599885
13.988977171318949,71.85641235313953,46.73603920989266,65.70006451223215,67.80484908869181,46.07975030472588,47.593521250899336,47.381197079176566
13.985755236744986,71.83785842108057,46.75122788344709,65.71466309790485,67.79605938459343,46.0601669440647,47.61315508593268,47.38223080647313
13.970826376833353,71.83415524208243,46.759254752704805,65.70290341631681,67.79756833771246,46.063372593255565,47.60860393985135,47.37800632151478
13.980850467470882,71.83983691458127,46.757186446974934,65.70798416525489,67.80905316133808,46.04190519862203,47.6059645593974,47.377982289286834
13.984820934452468,71.85087029809284,46.76045104083585,65.69461914089308,67.81156167885301,46.04234330580758,47.60635487956979,47.37782330457911
13.96740030911005,71.85297569103169,46.750695576165604,65.68262616264795,67.79000622872194,46.04709017276793,47.58758167447949,47.40063661938196
13.977887708891474,71.8613370006885,46.76214940702472,65.67824379432489,67.80273323865751,46.0385088417587,47.5945137672053,47.39473278705034
13.975666327792776,71.85784487221498,46.7503198992503,65.6807578004922,67.82173102359442,46.045590544127755,47.58400655924423,47.39873916132405
13.978419406944125,71.85522078988737,46.73829352240764,65.68264193556968,67.83291400142764,46.04803135728411,47.577588023898876,47.39496114934994
13.983680199749953,71.85121104150596,46.723614953375524,65.67967375778561,67.83888483897066,46.05601866891378,47.58829578461503,47.40991785533036
13.983568410815145,71.85665863222205,46.72038214908867,65.68302791333292,67.85297439730812,46.0718590191474,47.595594430803125,47.39519602026304
13.979719774747782,71.85809361569657,46.72191529897028,65.67347036314897,67.85122901783686,46.078462729625016,47.591758892042144,47.41186417607155
13.988144973035663,71.86236259331213,46.72933226998422,65.6679715866881,67.85373013115611,46.08256404552226,47.61066538070954,47.39648249401758
