cn0_1,cn0_2,cn0_3,cn0_4,cn0_5,cn0_6,cn0_7,cn0_8
37.647373146943664,44.39158605855687,41.473791526782215,44.26958712691012,46.19265063325777,40.231951530359396,42.62756275358913,44.004266679308266
38.44336162417613,43.466964422141416,39.90913469304634,40.96757807326863,42.26911207548781,43.88269901370519,39.440002067786715,44.72702095106643
37.16105078688897,43.9956035218855,42.10394723330988,47.42257960973838,44.47191086899602,38.952679916931594,43.09305153852849,42.200219160102634
40.36459720193692,47.80273279841056,42.885605736686465,45.35980650550168,43.2665999327875,40.40351463944409,39.96173699171233,41.4728574944527
38.19705083519795,43.96387708371569,43.428357465943954,44.485070360171754,46.75078525313126,40.584426307190576,42.91154313922304,37.93953564487168
39.303168587875604,44.370836008409455,39.798500835974494,42.638159336362875,42.21836667016911,44.379456759989424,41.40302920355566,43.568115133204586
40.401161103565784,43.72899051274118,43.72982049799663,40.87204399680941,43.45470646053427,39.641951654154404,44.302677476695166,45.314307701777636
39.2174147383703,40.36534866638583,40.871773633280945,43.33392468510499,44.567980979779804,43.029142617097385,42.49317670532065,41.79852171335793
38.38958044950447,46.59843729701215,44.581975717982104,43.89581179013682,42.5726904917851,43.83907190038816,41.44040108839221,42.14723806058822
38.8422854665431,45.55448385859296,39.737713698172875,47.55001626960696,43.305305751579056,39.199533942346235,42.71289268841717,41.91393391574133
35.885105275051664,44.645839034344455,41.01616664048494,42.28248250628401,44.370163618236646,39.73841161089469,43.53719561264143,41.43743197490303
40.2668418177275,43.248766101365504,45.88718457777506,43.992723794512166,45.070849498237344,43.14818493317586,43.791385721859804,38.70053603012072
38.08449017140559,41.83115506603301,41.2280135918117,44.665429479133635,44.598223980817515,39.85280443193342,42.677126223741894,40.46991165034283
37.26019170872052,44.21187471133149,44.918992920125255,47.07311023804438,47.08459865091552,41.994225048758814,41.90307089075456,41.718539715468914
36.64258366527791,44.93191384112231,40.35540190138383,46.15883254827723,48.873891594269395,40.613577415107464,41.934396281134894,43.001115686926234
33.8258702359619,43.25374721534617,42.13875503784388,42.805257762840974,41.188180839605394,40.97049157699518,42.653009714083176,42.690845758391966
36.40098373317211,45.27477178346768,43.31753661946042,44.95213608387768,45.16793602746165,39.30051947783058,40.13288248457713,43.319982919587815
37.84398890442828,46.50065216975733,41.74476481139454,43.56145799967992,46.067040990235675,39.908788071882014,45.17919759289614,38.8771126955581
38.18969433089236,46.68073064185998,39.380250911196065,45.06825614003168,43.62551323384655,42.634729123219714,43.21999344634173,43.07158500746976
38.818496856367666,44.61845296380331,47.14287188502807,41.94058880446356,44.96310264643634,45.49254056741003,44.55907155554925,40.914910746939704
39.11369315648692,41.67337166417032,46.202496913022095,41.917907187998935,43.881777209991974,38.932424929205965,42.99601100307002,44.54002276852173
37.815640184076855,43.997983461865545,42.79089956732546,47.007356103225135,40.18705830181431,42.8546859346139,39.65681287832914,41.7754685942897
38.504336476312105,40.97096802272923,41.647388669430306,44.45388583142511,46.1371048758974,43.900747322802424,38.38987673350149,41.92595882739913
31.57456939545989,43.76054606312134,43.242574311266644,43.676893909398956,48.31133023849123,43.72110236123878,43.79665476477248,42.41490137502088
42.194578581346796,44.080371048366885,43.384823845751335,42.42748771781973,41.46215500624335,41.17039057969895,40.24818321099626,41.764322001373735
36.67223346500031,41.681858880557684,42.54033785684319,43.022394259400556,40.9439450052292,42.323983533893696,41.39056905616666,39.82905061016109
35.7997416772679,44.3797874536889,40.63116225506394,42.95717103141327,42.99311558218352,43.8671168447476,42.97260348279324,40.892457872941684
36.435809357901235,46.37538268988343,41.99381622199402,44.374809452485835,46.84866559404138,42.660651497350365,43.53562262478269,42.63419150221829
40.23328750840535,48.83173110873339,39.61581385858063,41.06589729562374,42.93455144595359,42.3128119510703,44.097384168873816,44.55454383450048
37.55285274960529,47.17383030166214,43.51327513909229,45.26891675177515,44.7966451179544,46.10402768500619,39.816513359126304,44.30264617936431
37.05976636350104,45.31274526704613,40.72606526356369,47.42375956741953,46.11657720502815,40.61982969521588,41.58764348004942,41.065812334625925
40.91024176780475,43.29068435309654,42.91090676194029,42.666013549064026,43.16836657172809,40.66993550765829,39.87718263284073,44.38250225174132
40.41631581739465,46.70756751997194,44.13616041819081,41.57474426969381,44.58908097407144,41.62930864863354,40.69264902921093,41.25140458697254
35.81055454408478,45.63107319945533,41.32904526013763,48.46443581197582,43.754089626849144,40.51980776973467,38.97293871087632,43.99194469495674
39.09603398694162,46.466174688842074,45.11445282686569,40.04976108331619,38.746115516970924,42.02217064286799,44.07582131345126,38.65639751606838
36.5751420190408,44.69535103320733,43.95828504575705,44.36996875280602,43.29513908013571,44.30743101924092,42.844165019763246,39.99154373170608
36.96669492571081,42.665182465986845,42.494951346014226,44.043341748906435,43.68837141592134,43.13625019819454,42.75772930106811,40.56227762327516
36.70667969301502,45.68598556109578,43.838480348958385,40.904012564269486,42.58889688027003,37.47267229650048,44.39807291717072,41.46360913067325
36.955712669063665,43.0379010708768,44.79969440545375,42.92255305189484,45.506144469725164,40.48928011707398,41.8003523415746,41.35503874942096
37.16571079308247,44.994142145126915,39.357132592068375,43.7125856034615,45.01392463877474,41.39495226245658,45.31135979775721,41.71495185239665
38.33732796099267,45.210907281548174,40.07704943818208,47.83443577059196,43.382517085042466,42.03294491005141,44.48087658937158,41.72594707783209
35.53392154411033,43.491979370317,44.32329613473699,47.698755538123095,42.98222173063967,44.304895229734846,40.87473893186213,41.545149426198805
35.741263123462545,43.25471725180307,40.23980905948702,46.371302831463126,46.17670920430153,41.24118575140307,43.64325960849911,41.587882547366036
38.52204208611056,43.79688489613012,41.796146210569326,45.23300525916463,47.73768503032966,44.05276221450612,39.58836317108177,40.32938423223937
34.970868323527924,43.90302688525176,41.04307080905894,44.447143173603955,44.62026830058506,43.211764441043265,40.88477742759989,41.87509627008364
39.233669865983195,43.99769998751005,42.20304818370465,44.24779293475052,40.12226743011995,44.880094547736,41.52333749252436,40.842710948720864
39.03370556700348,45.52335683215317,45.27859866207172,42.021939714609694,44.32193904513542,40.82594061363038,42.76491993761079,41.71792402313961
39.06288259438537,42.88983682467482,42.712996632810494,43.82060757798632,41.19152726223991,41.789012838820796,39.396458733078106,43.31779994096424
39.13588540671863,43.09005220114702,40.287408547978195,45.01740553981046,45.904918213737986,43.5297752680992,42.83240653960929,42.03417922226686
34.002115215892644,42.7663547923059,44.182255195122565,43.70192583822922,43.96338858516588,44.21532122757844,40.827717641078685,38.775521405543635
34.77811339218963,41.97284181921629,41.915338041678595,45.3818484467705,43.64082001910254,45.236931918249184,38.08033740907469,43.85402094956254
36.18779613880224,41.90985855059436,46.011475752333,48.60873976400999,44.734144796109845,41.51854406657435,44.18009117891702,37.22041524948549
39.73469333974323,42.97446970657645,43.84777216475411,43.36926164094257,41.60802235457743,40.3256904909224,41.51959491256023,41.534656157301235
38.26323118686789,45.21982985123669,45.00835043743212,41.07107055642127,47.724275490314554,40.12613720143112,39.56615439297865,42.62975246363547
38.51847707936905,43.77441131004214,40.72310117304909,44.29537842530799,44.52410574221515,42.110730496252394,39.9245026188949,41.43368484111875
37.573982134757195,47.6850808053559,45.398016312280674,41.33068635986314,49.898324826548624,41.19436416888274,42.567260858982955,41.56472310659301
36.55043524660906,44.15426875415562,38.80891170626488,44.647021633354036,46.020465687457815,41.53730559297979,39.42319999196104,41.58132859731602
35.71296375683984,45.55921877730586,44.873631080703205,47.046219887699074,47.07239900388505,43.468177403173975,44.16975041521351,41.523099542458475
