gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.706826803610274568e+06,4.688714041004505940e+06,3.360433943742725998e+06,7.782899422330871175e+01,-2.862083091576661520e-01,3.018444396461345547e-01
-2.706812756592057645e+06,4.688716057086303830e+06,3.360438335946219973e+06,7.690036082414937368e+01,2.702651052800919204e-02,-6.428794581819974319e-02
-2.706810517002581153e+06,4.688713217141025700e+06,3.360429817048612982e+06,7.602761778332776998e+01,-7.588726100530640561e-02,-5.957088235028189238e-02
-2.706799958908897825e+06,4.688710609537912533e+06,3.360429781834734604e+06,7.491335113722608696e+01,-1.481665373176238309e-01,-3.415140986139275636e-02
-2.706787755606072024e+06,4.688714432507380843e+06,3.360433485182801727e+06,7.416189701404663026e+01,-2.140489031623578689e-02,1.385157838396275549e-02
-2.706783323311476968e+06,4.688710161215241998e+06,3.360433597888467368e+06,7.289072022568770137e+01,-1.283388275166796599e-01,-3.345032909787638009e-01
-2.706779557479326613e+06,4.688711873753635213e+06,3.360431910863626283e+06,7.176548255965712997e+01,-2.836719249265406417e-01,-1.613954897758412225e-03
-2.706774594312465284e+06,4.688717589536224492e+06,3.360435508966257330e+06,7.084832538569332883e+01,-3.858689166393946407e-02,3.938694453527693401e-02
-2.706765371547185350e+06,4.688711742389760911e+06,3.360427891871263739e+06,6.977321288439461000e+01,1.370199928459308325e-01,8.552921686942317747e-02
-2.706756965244417544e+06,4.688709008631329052e+06,3.360438466590261552e+06,6.906066698084794098e+01,1.252781249693959292e-02,-8.719680148236817752e-02
-2.706745386727388948e+06,4.688710336888492107e+06,3.360439563352220226e+06,6.798049642690170913e+01,1.816073210239830260e-01,-1.219272162575162910e-01
-2.706747364407550544e+06,4.688704473796328530e+06,3.360427121797644999e+06,6.669695063708930149e+01,4.419486712292672315e-02,-9.066549940306567468e-02
-2.706734128709016368e+06,4.688715225336420350e+06,3.360432047953912988e+06,6.588562011457705125e+01,3.317204778000967802e-02,1.322284715667857713e-01
-2.706731434550509788e+06,4.688710456925937906e+06,3.360424238537715282e+06,6.476726221100334158e+01,4.363047776791072890e-02,2.275779911032283498e-01
-2.706724973615455907e+06,4.688713952736313455e+06,3.360434821621183306e+06,6.410528896902933127e+01,5.298944936803259842e-02,1.982674664684820620e-01
-2.706714954930660315e+06,4.688717397878448479e+06,3.360429425237039570e+06,6.309990667498600203e+01,-7.013409514489031549e-02,8.427999799746953291e-02
-2.706712690168007743e+06,4.688714030085142702e+06,3.360432429828717839e+06,6.192975790588059226e+01,1.421141297663691405e-01,2.096087061934719664e-01
-2.706701698715584818e+06,4.688714436759335920e+06,3.360429269717884716e+06,6.088089568097759496e+01,-6.145505761973946157e-02,2.433903985298469519e-01
-2.706702887875047512e+06,4.688711760104008950e+06,3.360430036589458585e+06,6.027763103192553729e+01,5.174828666416312999e-03,1.543639472592660544e-01
-2.706691404129938688e+06,4.688715641476742923e+06,3.360429982198887970e+06,5.885961677459110319e+01,-5.376681794558969829e-02,7.683920773971532336e-02
-2.706689098172420636e+06,4.688716727820550092e+06,3.360439153851170093e+06,5.778731963387149762e+01,-1.131549370631772591e-03,1.435980433014925617e-01
-2.706679536761861295e+06,4.688704505443713628e+06,3.360430015206511598e+06,5.680896216181334069e+01,-1.191800994860327256e-01,7.753217739637313644e-02
