ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707027294818181079e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027234811915085e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027173806275707e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027111801200546e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707027048796632793e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026984792521689e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026919788822066e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026853785492014e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026786782495212e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026718779798131e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026649777370505e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026579775185790e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026508773219306e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026436771449633e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026363769857213e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026289768423885e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026214767133817e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026138765972573e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707026061764927581e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025983763987198e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025904763140716e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025824762378819e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025743761693593e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025661761076190e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025578760521021e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025494760021102e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025409759571310e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025323759166524e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025236758802086e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025148758474272e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707025059758179355e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024969757913612e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024878757674713e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024786757459398e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024693757265806e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024599757091608e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024504756934475e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024408756793477e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024311756666284e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024213756551966e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024114756449126e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707024014756356366e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023913756273221e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023811756198294e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023708756130654e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023604756069835e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023499756015372e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023393755965866e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023286755921785e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023178755881730e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707023069755846169e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022959755813703e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022848755784798e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022736755758524e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022623755734880e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022509755713865e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022394755694550e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022278755677398e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022161755661946e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707022043755648192e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021924755635671e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021804755624384e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021683755614329e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021561755605042e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021438755596988e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021314755589701e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021189755582716e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707021063755576964e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020936755571514e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020808755566832e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020679755562451e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020549755558372e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020418755555060e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020286755551584e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020153755548876e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707020019755546004e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019884755543899e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019748755541630e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019611755540129e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019473755538464e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019334755536634e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019194755535573e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707019053755534347e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018911755532958e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018768755531870e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018624755531084e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018479755530134e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018333755529486e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018186755529139e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707018038755528163e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017889755527955e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017739755527116e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017588755527046e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017436755526345e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017283755525947e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.707017129755525850e+06,4.688711955664515495e+06,3.360431434122325853e+06
