velocity_doppler_1,velocity_doppler_2,velocity_doppler_3,velocity_doppler_4,velocity_doppler_5,velocity_doppler_6,velocity_doppler_7,velocity_doppler_8
196.9761408218301,-77.41656050298572,-429.23029703240513,-103.13320736485078,-49.145192293012386,-468.8202666898511,-280.48809041272494,338.9401341099847
197.99474700474892,-75.09773821077403,-427.2700774047837,-102.15461535883584,-46.937884220206655,-466.37756403782083,-277.6816645865078,339.14228971908625
196.04720739749868,-74.52603270533768,-424.26516190999894,-101.0164089483655,-46.68691651501344,-462.718120199847,-276.1315974508548,336.61087273635206
194.0293588352833,-75.3789834865333,-421.46856790261404,-101.19679240857145,-47.29225507409076,-460.06971067761475,-274.6853334882311,333.81575615858986
191.10218538108379,-75.51441090915839,-417.17835784495526,-100.92546185696506,-47.86119323297783,-455.399320299485,-272.620403279498,329.4774180626665
189.38812952059038,-73.9225527217392,-411.52304855334427,-99.44569587424562,-46.607269777505536,-449.2358269264712,-268.7161580879688,325.7855816668127
188.1765831643883,-72.75634174424027,-407.4698259318337,-98.1112485828807,-45.71433102635249,-444.9057735411455,-266.29421522393613,323.2990567868151
186.7115470027415,-71.20939503476919,-403.895896681895,-95.55751049274708,-44.48232500158279,-439.7659938297803,-263.20157166104036,320.8569057200665
185.38277983495936,-69.97353480126353,-398.8545396406525,-94.39192032780993,-43.47634096512308,-434.80431705904806,-259.626981453458,317.7159806823763
181.10773189693992,-70.75323825536536,-394.8660992076347,-94.06191102761109,-45.191989376863475,-430.304525831067,-258.2877977117283,312.4358995400998
180.81077473049288,-70.06433723936122,-391.2197615435209,-94.14696203641277,-44.082904221356955,-426.6869498319342,-254.85268394106092,310.2429709672272
178.69246514531878,-69.66002679158264,-386.20612528574526,-93.28991847465798,-43.81311874528254,-421.70619559133837,-251.54677683318278,306.34197243910455
176.65635794362223,-67.71546323345233,-382.70874070694884,-91.2761372392102,-42.9638873998675,-416.6852619312976,-249.29081575985248,303.5538830758124
173.20518796401115,-67.79016727642559,-378.1191933822537,-91.1423899830586,-43.47155660382445,-411.76853127644955,-246.9576845308117,299.0470454835354
172.6917322321264,-66.00724236067636,-374.497869110745,-89.81712844027409,-41.65358113386559,-407.41601332209996,-244.0384091895302,297.33831349613826
170.87650073141538,-64.99812233956729,-369.63478410955577,-88.58265555018527,-41.035660326134305,-402.58849568205073,-240.71223067196613,293.6624810165296
168.05984268116552,-64.62870344513897,-365.3657285978656,-87.84198526940008,-41.40373400633107,-397.8587367804971,-238.73408693238935,289.7060050496545
166.2834470444574,-63.77587948413664,-360.3179899764673,-86.949810465447,-40.70073431849686,-393.2916252601878,-235.32064167489463,286.4335975264951
164.66210141108525,-62.22081529495319,-355.96741122604516,-85.22279340522087,-39.62967634500829,-388.08302010804783,-232.1666728496897,283.4624348545162
162.23191740280674,-61.9479411283062,-351.0521716386085,-84.60520201807117,-39.58692157786951,-382.8692190789771,-229.18597884220443,279.20704466755905
160.69294042183046,-61.10462417708582,-346.7084113259098,-83.79580960199455,-38.97144923047503,-378.18810657738936,-225.93788588153762,275.89458856803003
158.7238204930929,-61.81422640970602,-343.7592633824935,-84.1172861735651,-39.96498440610539,-375.8551287937266,-224.88446418268805,272.6881418024935
157.61456705809226,-58.988294142391965,-337.66384452923825,-81.2815569289875,-37.72735493442205,-368.9154114236951,-220.22224537235041,269.458164109144
