ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999998473e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999453e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.609999999999998321e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.048999999999997323e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.314409999999999745e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.782968999999999804e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.304672099999999779e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.874204889999999457e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.486784400999999312e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.138105960899999269e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.824295364809999542e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.541865828329000099e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.287679245496100577e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.058911320946490431e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.853020188851841388e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.667718169966657227e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500946352969991127e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.035085171767299084e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121576654590569211e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.209418989131512134e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.298477090218360885e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388629381196524681e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.479766443076872218e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.571789798769184898e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.664610818892266364e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.758149737003039670e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.852334763302735610e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.947101286972461986e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.042391158275215890e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.138152042447694079e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.234336838202924724e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330903154382632181e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.427812838944368945e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525031555049932042e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.622528399544938882e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.720275559590445091e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.818248003631400600e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.916423203268260433e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.014780882941434204e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.113302794647290650e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.211972515182561771e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.310775263664305523e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.409697737297875175e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.508727963568087471e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.607855167211278857e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.707069650490150803e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.806362685441135874e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.905726416897022268e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.005153775207319633e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.104638397686587226e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.204174557917928823e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.303757102126136047e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.403381391913522513e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.503043252722170209e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.602738927449952833e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.702465034704957247e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.802218531234461629e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.901996678111015804e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.001797010299914525e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.101617309269923517e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.201455578342931041e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.301310020508638310e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.401179018457774816e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.501061116611997370e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600955004950797900e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700859504455718429e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800773554010146604e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900696198609131748e+00,0.000000000000000000e+00,0.000000000000000000e+00
