ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.706943314747905359e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706942394748667255e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706941475749352481e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706940557749969885e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706939640750525054e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706938724751024973e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706937809751474764e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706936895751879551e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706935982752243988e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706935070752571803e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706934159752866719e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706933249753132463e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706932340753371362e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706931432753586676e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706930525753780268e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706929619753954466e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706928714754111599e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706927810754252598e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706926907754379790e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706926005754494108e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706925104754596949e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706924204754689708e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706923305754772853e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706922407754847780e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706921510754915420e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706920614754976239e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706919719755030703e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706918825755080208e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706917932755124290e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706917040755164344e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706916149755199905e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706915259755232371e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706914370755261276e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706913482755287550e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706912595755311195e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706911709755332209e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706910824755351525e+06,4.688711955664515495e+06,3.360431434122325853e+06
-2.706909940755368676e+06,4.688711955664515495e+06,3.360431434122325853e+06
