accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-9.873983384698886923e+00,2.201902282169740637e-03,-9.792653394624108998e+00
-9.890090759046504587e+00,5.127891247338998114e-03,-9.804775908557143538e+00
-9.901009037942371194e+00,7.191239359227827484e-04,-9.809369199478870982e+00
-9.913571899028848833e+00,-2.963166351510465417e-03,-9.804310713610936645e+00
-9.916741987430475191e+00,-1.330023869655046383e-03,-9.795174769487253741e+00
-9.935752556415341274e+00,1.075690679133488488e-02,-9.792393458923532634e+00
-9.945849159870626011e+00,5.651213840174330318e-05,-9.789051183444447801e+00
-9.936038388625640039e+00,-2.526232753976942729e-03,-9.796447907400539279e+00
-9.941724171663041787e+00,-1.165043253094913411e-02,-9.807795494429226935e+00
-9.950312247761671003e+00,-5.791994174841624430e-04,-9.793164572399357226e+00
-9.957280891536710143e+00,-1.703793251062194359e-03,-9.788329511899137358e+00
-9.963128371932450378e+00,4.426828246478222654e-04,-9.809573410369319291e+00
-9.968746264486821218e+00,-5.505918976265728251e-03,-9.795975698693849765e+00
-9.967482410238755364e+00,-4.230054255883838876e-03,-9.786613489622036255e+00
-9.974698731827762899e+00,-4.023843611558116685e-03,-9.785108878340409433e+00
-9.972429211586934628e+00,4.232825115735891312e-03,-9.788531849565794474e+00
-9.985604741589163780e+00,4.475457596840919962e-03,-9.788886364580484667e+00
-9.975030063953687076e+00,5.368303477433776158e-03,-9.805396449438184447e+00
-9.979829810085421471e+00,9.814976021841935808e-03,-9.796473282543221472e+00
-9.989818493744850869e+00,-1.236436027756851984e-03,-9.794638243500576991e+00
-9.984334494125461035e+00,-8.761777027225536169e-03,-9.798253318006279855e+00
-9.986850369743921263e+00,1.306743122777437706e-03,-9.786988767697375025e+00
-1.000010980604616861e+01,5.012097991053516242e-03,-9.808847293020237501e+00
-9.994197192495789750e+00,4.302661622260043998e-03,-9.786788709804030262e+00
-9.990781413655438925e+00,-7.361520047052321110e-03,-9.795303855098312695e+00
-9.990568868797215174e+00,5.128440411771291278e-03,-9.784848805387460047e+00
-9.991055554737201305e+00,6.183034976687999153e-03,-9.791733318851584045e+00
-9.990798951390848615e+00,-3.193893358638819763e-03,-9.792081539741703367e+00
-9.987100395620185367e+00,-6.603698480784133719e-03,-9.805990833637405757e+00
-9.999432692942495038e+00,7.415750634525363275e-03,-9.800463366076581195e+00
-9.999889759248935306e+00,-5.198838346847126438e-03,-9.794525086030748895e+00
-9.990509286234422248e+00,6.811551849415801475e-03,-9.788900353489783157e+00
-1.000643440525004024e+01,-1.134687489133770055e-03,-9.796538423587730193e+00
-1.000112921582811687e+01,4.871694246282304644e-03,-9.785648634047602101e+00
-1.000283362309271773e+01,9.977008921642238973e-03,-9.794338798456283968e+00
-1.000269688820627678e+01,5.858502515092816731e-04,-9.793511843733158528e+00
-9.993689331939892284e+00,2.878813066972939812e-03,-9.800596777996386066e+00
-9.991864728573641941e+00,1.216945030095146693e-02,-9.787990922622254786e+00
-1.000510945618569814e+01,7.196817554415937956e-03,-9.791773365017908404e+00
-9.989848426790642222e+00,5.261492192997408411e-03,-9.800213938876765951e+00
-1.000121514807780088e+01,2.499396203642742075e-03,-9.806950631088030335e+00
-1.000067652488385939e+01,-4.984335153713200482e-03,-9.793958682893157075e+00
-9.993548218652870574e+00,-2.164574359204596461e-04,-9.803984463371609337e+00
-9.997798635918753618e+00,3.698325415484727489e-03,-9.795486495525338455e+00
-9.997105666147669822e+00,-3.367912447666652261e-03,-9.789316397600719810e+00
-9.997279777998183903e+00,4.686979426074872404e-03,-9.788325377805705330e+00
-9.998345357644067732e+00,-8.271236567925681696e-03,-9.799293034620678355e+00
-1.000503597113800325e+01,-4.793157819915027512e-03,-9.808516420368908584e+00
-9.993162978889891690e+00,-1.079170806925527394e-02,-9.794900493383126516e+00
-9.997328620037787772e+00,-3.664098652899597849e-03,-9.796595206743329953e+00
-1.000283491335523500e+01,-3.094659608596733811e-03,-9.786988474226886225e+00
-9.992935484496253906e+00,-2.204572290468439794e-03,-9.806856584630569529e+00
-9.999903157119428343e+00,-4.355851055074672247e-03,-9.788072663922745775e+00
-9.994061659614949633e+00,-2.459809626104566497e-03,-9.799919341487193236e+00
-1.000310190659998710e+01,6.648401158616599853e-03,-9.792822468597465857e+00
-9.995865105498571879e+00,-3.450861436766657075e-03,-9.792352040467855900e+00
-1.000034125894261194e+01,-7.954436431709647690e-03,-9.776396259149425561e+00
-9.996133440287904293e+00,-4.744021597154340908e-03,-9.784682106197449158e+00
-1.000511303804222507e+01,-1.473747481652724510e-03,-9.788353806639694454e+00
-1.000619552133073498e+01,-2.514345561419934708e-03,-9.793821349761511641e+00
-1.000072024928664050e+01,2.697115442714249738e-03,-9.798071107024874493e+00
-1.000743729859727260e+01,-1.256296076615489189e-03,-9.800589548372190762e+00
-1.000115369580990610e+01,-3.219532505596386148e-04,-9.807980229498499014e+00
-1.000364904832211899e+01,-1.477843157862250567e-02,-9.798999937273192629e+00
