velocity_doppler_1,velocity_doppler_2,velocity_doppler_3,velocity_doppler_4,velocity_doppler_5,velocity_doppler_6,velocity_doppler_7,velocity_doppler_8
-0.14947373534393163,0.2056157884027499,-0.4771057498936964,-0.8380472919155694,-0.7255484486325605,-0.35622056328058127,-0.8860940045099863,-0.7994828811659492
0.3637563983581416,2.243140298802904,0.8963541823045864,-0.48975704198440023,-0.053863360610290664,0.06926535893246524,-0.5394395006863548,-0.19928238515915478
0.8722548910213787,6.674867578673636,3.53228992360813,-0.3437295024669065,1.1689725727944706,0.33388623984169363,-0.298070962427275,0.5617032965248439
1.724026647784926,10.988901990341468,5.802466391286869,-0.5136034252360141,1.7826489847203122,0.8134490133898019,-0.5193162148240269,0.9422846884854104
1.6298761136028992,15.2257698768427,8.365483724427124,-0.4486519597913396,3.285096046012797,0.5581146877250482,-0.20578073151027088,1.6725061209145164
2.9517622849071463,20.31942930976358,11.228511067372127,-0.3391280659439348,4.1504615194241214,1.4457402906583858,-0.1990499296811527,2.3951555314308512
4.128214549080175,25.293504360826454,14.040465575805888,-0.23764921184721186,5.0790427338350765,2.2258698977120797,-0.16431289565211274,3.1105617037576474
5.631153206009377,30.340411838682787,16.93974994885868,-0.014825016039368021,5.939269345044492,3.239951715329892,-0.0700115156234124,3.9277294712508937
5.796612366953129,34.59670371647953,19.735319474479926,0.40558499788924857,7.671872611079986,3.29295635626471,0.5824892604332108,4.98945975681299
6.141959170315431,39.830753128148785,21.727157079592384,-0.9828527934012822,7.66693650066754,2.9657704476694,-0.7981892006365869,4.338342299892629
6.872013382678003,44.36772028639485,24.373369953143435,-0.8580180008268564,8.770746620247397,3.379461561001775,-0.6230856503151471,5.0708145972908465
8.528010087705841,49.32185202162969,27.779296701935625,0.13839142258010345,10.249030043799067,4.8761289533627865,0.2759886816076499,6.638859273436943
9.345148706118877,54.71285915488785,30.377509160155583,-0.43110864734484533,10.669700762171898,5.3344138467767355,-0.36175946949921606,6.7741612115837215
9.040906456774792,60.306570104148896,33.531437189204425,-0.6435356642176574,12.333406080280584,4.873977920144004,-0.2394960393750834,7.425262927660662
10.765679058006514,65.33713717396198,36.90993782094161,0.3086124015410047,13.80508982714456,6.332621102348935,0.5967562749329616,8.946791422856679
11.086499259514346,69.13725862392545,38.90587929229959,0.11477562557784313,14.505904687188316,6.463453770285961,0.46937845890231744,9.289245117625502
11.836601797643828,72.99174269219064,40.60418970484664,-0.44339317282104457,14.590706267277975,6.800204864468146,-0.19445110400421875,9.201099473586183
12.171969476119612,78.8038750349107,43.2778665605229,-1.4057488681980093,15.081996192234262,6.582140637146065,-1.088517616157693,9.057536435809789
13.069351396994241,83.40138749261956,45.94780875321097,-1.22461512112157,16.227348615046214,7.193854489845492,-0.8979943897948759,9.820967311483095
14.528860477576835,87.62268250087689,48.67693376908973,-0.5916142785019247,17.23143049952224,8.424236774302557,-0.4037929920505089,10.926543586274954
14.364883367137677,93.85028956672667,52.460743324146215,-0.42744336246681036,19.443417694061388,8.267743546856298,0.1079968846591883,12.040311655780519
15.191465602792265,98.82285888015078,53.98901701543471,-2.137352831933819,18.54581541985206,8.398810333969907,-1.8148768793030743,10.960534075738353
16.401216883530992,102.57736483817054,56.770906328530884,-1.0225852274823493,19.9559313121388,9.683267533303447,-0.8110909509066031,12.465809209603771
16.699879006814456,108.590531365832,60.46808813801605,-0.7715996682821856,21.880926400640362,9.858148076361278,-0.33554360946449774,13.5816425630323
17.32683551722354,112.56739550376953,62.82728818953189,-0.5919875541078765,22.788304586862242,10.200678458670895,-0.1415425051810571,14.272127136234053
17.924671147125547,118.23109579513978,65.32895051507946,-1.5781565689355088,23.103587605554928,10.386046722482845,-1.148019755937417,14.045147197192533
18.796037484003033,122.18982463870998,67.81589129017034,-1.2106858679587256,24.077141838355242,11.09699385304006,-0.8266574852757933,14.885872479464526
18.992974740826238,128.36619412239995,71.26442664273566,-1.4119837132359565,25.569924485957227,11.001296181406788,-0.8575173094991199,15.563158810932164
20.43292669609677,133.8202334886521,74.79309604515191,-0.6536205151081809,27.085189818812964,12.157478760931244,-0.15407444086586516,16.94194052469332
20.838638204608113,137.1729001360805,76.41201029538578,-1.0340242555268844,27.338269801486057,12.106351912557873,-0.5890196449865522,16.962168193001567
21.648207794445046,142.19454758180368,78.2900744744231,-2.3331141267755915,27.16408036087732,12.311783997804202,-2.0121757835294938,16.30371704009836
22.49723056075818,146.78266281175254,81.84249076476146,-0.9920764414792412,29.55902691295201,13.335203065455337,-0.5329233315850648,18.269205130482245
22.323668562202638,152.15565421108258,84.66209883011629,-1.4321266448096461,30.89543603288196,12.906444673811432,-0.7193188518104879,18.65747693988241
24.35786846964354,157.61051495711357,87.43782871282943,-1.4254537810896222,31.26942155271826,14.231304343313884,-1.040492567149624,19.187646931901234
24.293227764442864,161.54401088737444,88.86918169297091,-2.5924526757428477,31.597403289454668,13.478681156338375,-2.0608048116105655,18.608118228221016
24.983324274144803,167.45069462484258,92.83099402459325,-1.7264952325347331,33.929465682161684,14.09737965281115,-1.020040122311151,20.283378015248754
26.087449246372454,170.60735300604824,94.71766288076402,-1.4036964561127314,34.51484077188281,14.894512652467734,-0.8253019638934097,20.949077984216945
27.277776613218936,176.53522640352352,97.46776423106509,-2.1769196960388135,34.7633351905545,15.392278891543734,-1.7560225264488336,20.990834790249288
28.682920609362014,181.0103436649263,99.89101079261253,-2.1117120532985534,35.263379933445556,16.48817720498837,-1.9135034783379075,21.51086731951782
