ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-01,0.000000000000000000e+00,-9.794841972265039942e+00
1.899999999999999467e+00,0.000000000000000000e+00,-9.794841972265039942e+00
2.709999999999999076e+00,0.000000000000000000e+00,-9.794841972265039942e+00
3.438999999999999169e+00,0.000000000000000000e+00,-9.794841972265039942e+00
4.095099999999999518e+00,0.000000000000000000e+00,-9.794841972265039942e+00
4.685589999999999478e+00,0.000000000000000000e+00,-9.794841972265039942e+00
5.217030999999999530e+00,0.000000000000000000e+00,-9.794841972265039942e+00
5.695327899999999666e+00,0.000000000000000000e+00,-9.794841972265039942e+00
6.125795109999999433e+00,0.000000000000000000e+00,-9.794841972265039942e+00
6.513215598999999578e+00,0.000000000000000000e+00,-9.794841972265039942e+00
6.861894039100000064e+00,0.000000000000000000e+00,-9.794841972265039942e+00
7.175704635189999792e+00,0.000000000000000000e+00,-9.794841972265039942e+00
7.458134171671000345e+00,0.000000000000000000e+00,-9.794841972265039942e+00
7.712320754503900311e+00,0.000000000000000000e+00,-9.794841972265039942e+00
7.941088679053510013e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.146979811148158390e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.332281830033341663e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.499053647030006431e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.649148282327004722e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.784233454094303895e+00,0.000000000000000000e+00,-9.794841972265039942e+00
8.905810108684873327e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.015229097816385817e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.113706188034747413e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.202335569231273382e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.282102012308145689e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.353891811077330587e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.418502629969598416e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.476652366972638575e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.528987130275375250e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.576088417247838436e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.618479575523055658e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.656631617970750980e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.690968456173676415e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.721871610556309662e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.749684449500678696e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.774716004550610293e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.797244404095549086e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.817519963685994000e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.835767967317394778e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.852191170585655300e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.866972053527090836e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.880274848174382285e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.892247363356943879e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.903022627021249136e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.912720364319124400e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.921448327887212315e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.929303495098491084e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.936373145588643041e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.942735831029779092e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.948462247926801894e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.953616023134122415e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.958254420820709996e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.962428978738639529e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.966186080864776642e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.969567472778299688e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.972610725500469897e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.975349652950423973e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.977814687655381931e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.980033218889843738e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.982029897000860075e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.983826907300773712e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.985444216570696696e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.986899794913627559e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.988209815422264271e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.989388833880038732e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.990449950492035214e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.991404955442831692e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.992264459898548168e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.993038013908693173e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.993734212517823678e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.994360791266041488e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.994924712139438228e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.995432240925493872e+00,0.000000000000000000e+00,-9.794841972265039942e+00
9.995889016832943952e+00,0.000000000000000000e+00,-9.794841972265039942e+00
