gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.707074214764507487e+06,4.688784441412298940e+06,3.360486434483462945e+06,1.423037498844021143e-01,-1.904404369842496170e-01,2.065976630430360964e-02
-2.707074951907108072e+06,4.688788915746101178e+06,3.360490786564929876e+06,3.854439426505817945e-02,1.914847514937190465e-01,-1.560836413379229348e-01
-2.707072251751818229e+06,4.688783871579452418e+06,3.360474903027573600e+06,4.997617117096288947e-02,-4.695585500923860067e-02,-1.752410940443095005e-02
-2.707068668164238334e+06,4.688785624107883312e+06,3.360487563052817248e+06,3.685422032480450451e-03,5.118643430157973628e-02,4.937479450815968757e-02
-2.707069669366617687e+06,4.688787287174017169e+06,3.360484455216972623e+06,-4.265562636578731220e-02,-2.001763484504008039e-01,-1.255575830666031123e-01
-2.707069231241811998e+06,4.688784610679936595e+06,3.360481714769855142e+06,-6.187975083257814257e-02,8.117720664602957881e-02,-1.856185150978674481e-01
-2.707070679593538400e+06,4.688785392995806411e+06,3.360482227528846823e+06,-1.065790784227754057e-02,-9.056989538925812322e-02,-2.083316861901560735e-01
-2.707076626491913572e+06,4.688785133571285754e+06,3.360482214391626418e+06,6.905309535013720579e-02,3.084927906646257184e-02,2.408984075894446131e-01
-2.707070740422097966e+06,4.688785251028896309e+06,3.360495497142303735e+06,-1.678019792152436046e-02,6.480979931945951567e-02,-1.853917401753495120e-01
-2.707074484305761755e+06,4.688790765828982927e+06,3.360491187125560828e+06,1.085046257220224734e-02,-6.450995515586467610e-02,3.438044020950550839e-02
-2.707069758823793381e+06,4.688780369818133302e+06,3.360486285798741505e+06,7.111197662801875541e-02,6.354817657854215651e-02,1.341016403238315668e-01
-2.707073205791480839e+06,4.688785041601353325e+06,3.360491079549792688e+06,-1.811135673721383718e-02,-1.073279329059411008e-01,-7.918630983549840296e-02
-2.707067356328721624e+06,4.688786430780292489e+06,3.360486951043546200e+06,5.686443392578145739e-02,-1.465811958748828858e-01,-3.697360703127287179e-02
-2.707069197508304846e+06,4.688786509271305986e+06,3.360482284372839145e+06,-8.286431378584091512e-04,-2.027700579364774547e-02,1.266200147890836070e-01
-2.707075105287626851e+06,4.688793450087151490e+06,3.360487934873751365e+06,1.456754943445413841e-01,-6.417881036349429302e-02,1.404947957115912083e-01
-2.707070813527531456e+06,4.688787914474651217e+06,3.360479800009964034e+06,-7.779335499345080285e-02,3.227691152797660529e-02,3.742286357697085369e-02
-2.707071412744527683e+06,4.688783037788700312e+06,3.360478865500653163e+06,5.622798906302339111e-02,-2.441777732100165049e-02,-1.037483335528756843e-02
-2.707069438011969440e+06,4.688784632274175063e+06,3.360474572786830831e+06,-1.668519176616115735e-02,-2.681964588779080227e-02,3.298620489026762859e-02
-2.707069304757420439e+06,4.688793292904407717e+06,3.360482417511270382e+06,1.684329855018289468e-01,-9.742332227190429739e-02,8.435120337773881205e-02
-2.707074449162044562e+06,4.688787633139031939e+06,3.360479361158921849e+06,-2.098169648294457082e-02,9.806804002109195673e-02,-6.644754950379125336e-02
-2.707071488127702847e+06,4.688784724256017245e+06,3.360487924110592809e+06,-8.055941355805819326e-02,6.180262707157399560e-02,-1.083400099928455429e-01
-2.707067670715168118e+06,4.688784809254409745e+06,3.360478398217347916e+06,-9.239179149974856287e-02,-8.690634562767281246e-02,-6.250358881249641618e-02
-2.707070230200110935e+06,4.688781584954837337e+06,3.360488134581611492e+06,-1.133544651137876128e-02,7.420200597436504841e-03,2.560579226004400591e-02
-2.707068700247162487e+06,4.688782067069631070e+06,3.360475634692111053e+06,5.931181430456049924e-02,4.681473822619034580e-02,-2.851475082296159314e-01
-2.707068523150003981e+06,4.688789485370219685e+06,3.360493078884938266e+06,1.951921493068623503e-01,7.975297401281654375e-02,1.724678098691090344e-01
-2.707068123835023027e+06,4.688785424170348793e+06,3.360488412134790327e+06,9.437542975698233472e-02,1.008570380656204774e-01,-1.850242497227357064e-01
-2.707071438076395076e+06,4.688782606096752919e+06,3.360480731333991513e+06,-4.390040463680245503e-02,1.616265703913381258e-01,4.855598539171641914e-02
-2.707066647042468190e+06,4.688790007198181003e+06,3.360474868047922384e+06,4.195594359051590255e-02,8.885360318447693695e-02,7.156490507625903885e-02
-2.707073235650173854e+06,4.688779985385350883e+06,3.360483538193629589e+06,-2.178836297681945033e-01,4.096303001291731749e-02,-4.570042929860747977e-02
-2.707066405566768255e+06,4.688784452665158547e+06,3.360493599415474571e+06,-1.841083296110318512e-02,-1.828378415578998106e-01,-2.963709573353010343e-02
-2.707071612485739402e+06,4.688782857886900194e+06,3.360484390512811951e+06,-9.097102842496390673e-02,-5.271738075233660219e-04,-1.520409040646437393e-01
-2.707069198745527770e+06,4.688780528491130099e+06,3.360482982592463028e+06,4.866551939711039054e-02,5.103845554517686539e-02,-3.162684900891764295e-02
-2.707069687808009330e+06,4.688786261161678471e+06,3.360485644732992165e+06,-3.549907247675564235e-03,-1.007368707728407975e-01,3.292593609051502335e-01
-2.707076056026894599e+06,4.688782253425353207e+06,3.360488632346106693e+06,2.683264576433888257e-02,5.133582475456704292e-02,2.937405068173261080e-01
-2.707070859674203675e+06,4.688783465514242649e+06,3.360478915451693814e+06,-5.468911073886451035e-02,-3.151122494073912289e-02,9.670941141819368314e-02
-2.707067168056454509e+06,4.688788917260452174e+06,3.360487003770397976e+06,2.812143596544362523e-01,8.192831092774287630e-03,8.901350921958262052e-02
-2.707070661343204323e+06,4.688783781172008254e+06,3.360480453561468050e+06,-3.600197916749939275e-02,-1.229503643369324745e-01,-2.237828508633830649e-01
-2.707074057259555906e+06,4.688786638500063680e+06,3.360480082022829447e+06,1.287646367440261341e-01,-5.113001018198642250e-02,-8.865069339452164021e-02
-2.707075678719217889e+06,4.688794137305855751e+06,3.360478278676446993e+06,2.282572510648240294e-01,-7.005095614682638194e-02,2.807317403181047166e-01
-2.707070087233752478e+06,4.688783468185038306e+06,3.360485608612605371e+06,1.544317400103396680e-02,-2.517384617508736100e-02,-1.063297421380187263e-01
-2.707067579459438100e+06,4.688789172791883349e+06,3.360476085485933814e+06,1.220628847530304956e-01,-5.855649006216983449e-02,1.134017237565294045e-01
-2.707072016929820646e+06,4.688784219165111892e+06,3.360489221247937996e+06,-4.453818133745388042e-02,1.290776854151352571e-01,-8.667145618092243764e-02
-2.707075380924091209e+06,4.688784817630150355e+06,3.360475608342736959e+06,-6.952528471303666413e-02,-1.319338902898110899e-01,1.690735746183435750e-01
-2.707075788772555999e+06,4.688782966854139231e+06,3.360487744796724059e+06,-1.224160102920903576e-01,4.418624725383907791e-03,-6.300533213326595106e-02
-2.707070805928950664e+06,4.688783406483649276e+06,3.360485146223516203e+06,3.428582486506700361e-02,-8.491063927541129056e-03,-5.860398126046780648e-02
-2.707071687152029015e+06,4.688786017474659719e+06,3.360476832179182209e+06,9.153301990404016930e-02,4.268827428727491741e-02,-1.765142342771406914e-01
-2.707067847494589165e+06,4.688782569336083718e+06,3.360487588331631850e+06,-9.342849035711332795e-02,7.015304528723989574e-02,-1.585084302431790382e-01
-2.707071153378067072e+06,4.688783310091586784e+06,3.360483694084603805e+06,-9.443141649094162482e-02,-9.565237335472936975e-02,7.007786474016224933e-03
-2.707071706200530753e+06,4.688788502438297495e+06,3.360487199757276569e+06,1.461083082724581872e-01,-4.495814449472509966e-02,4.822119482689291026e-02
-2.707069224668672308e+06,4.688786681850011460e+06,3.360483282975467853e+06,1.019090732304708535e-01,-2.370313730808926711e-01,-2.189244817842563723e-02
-2.707063952502289787e+06,4.688784133716625161e+06,3.360482433717493899e+06,-3.807805290928763242e-02,-2.218630908679263339e-02,1.624057680172263651e-01
-2.707069833721743431e+06,4.688779061378322542e+06,3.360481852684588637e+06,9.203678568581047381e-02,-9.176123685036940980e-02,-1.165262073166916518e-02
-2.707072033371659927e+06,4.688788839794672094e+06,3.360480722193782683e+06,1.963656553935766436e-03,-1.014028986776189210e-02,2.389488981970659121e-01
-2.707074984940174036e+06,4.688788895916977897e+06,3.360480265498676337e+06,4.135959229916683078e-01,-3.944650242628996301e-02,1.320001735277798183e-01
-2.707072215625089593e+06,4.688781024927171879e+06,3.360481901209378149e+06,5.003293551755829682e-01,2.870415344299154237e-02,-3.679289088723008971e-02
-2.707072103659749497e+06,4.688784983665205538e+06,3.360491754336328246e+06,6.045737596531786107e-01,1.559399495384699297e-01,-1.310698860522303277e-01
-2.707070269401965197e+06,4.688789147454260848e+06,3.360479024686146993e+06,6.724872523933373980e-01,-1.181539987607475861e-02,7.684702125686519725e-02
-2.707071141061047558e+06,4.688785284753680229e+06,3.360478600253456272e+06,7.475298231983618091e-01,-1.766714796797006493e-01,-1.578847354149280624e-01
-2.707073634806968272e+06,4.688786982656946406e+06,3.360481444118687883e+06,8.868062861839406397e-01,-1.740311295407334369e-01,-1.302880388117449717e-01
-2.707068678809565026e+06,4.688784501708211377e+06,3.360485312883309554e+06,7.608132545524506352e-01,9.373674069838416889e-02,-1.782162724827859868e-01
-2.707074520351229236e+06,4.688782536760177463e+06,3.360486058398991358e+06,9.989750354832400703e-01,-9.845542053388357806e-02,-2.649627316414717715e-01
-2.707073259722783696e+06,4.688785484739786945e+06,3.360484900935090147e+06,1.129859936498475159e+00,1.987225250977488200e-01,-3.010007320142601972e-03
-2.707070527431284077e+06,4.688785419775196351e+06,3.360481921729790512e+06,1.087646814109648696e+00,4.974231172530090006e-02,4.037900083114615013e-02
-2.707068113689221907e+06,4.688786762773904018e+06,3.360482590905391611e+06,1.392227853832389783e+00,-1.380170880638537934e-01,-9.723695927354304713e-02
-2.707072152272480074e+06,4.688788755415152758e+06,3.360478679637403227e+06,1.253847406324778202e+00,1.579409851570031664e-01,-1.205606340706968510e-01
-2.707068484342035837e+06,4.688789082037776709e+06,3.360477996331181377e+06,1.536895425918387570e+00,7.114123804127830963e-02,-2.567545352857170116e-01
-2.707065716372931842e+06,4.688791278469609097e+06,3.360479992242860608e+06,1.481406296307173243e+00,6.583412974021461868e-03,-1.631011421895233737e-01
-2.707069257252253592e+06,4.688784525179212913e+06,3.360479526963368524e+06,1.788846761465325397e+00,1.060493251326609203e-02,-3.240175154800655211e-01
-2.707070130919857416e+06,4.688788739731310867e+06,3.360492434684103820e+06,1.807491436569468313e+00,-7.053575594948764682e-02,-3.653818811816908485e-02
-2.707072746081075165e+06,4.688784573735464364e+06,3.360477226892080624e+06,1.896980519837766943e+00,-3.864922443770871241e-02,-2.303208257730748054e-01
-2.707071848567184526e+06,4.688788608855725266e+06,3.360485116040871013e+06,2.015831452293741943e+00,-1.618210405222963721e-01,-2.454863729344239354e-01
-2.707073417523011100e+06,4.688786155497431755e+06,3.360478121047889348e+06,2.261113223413190099e+00,-6.078619772382809483e-02,-1.556838512107993067e-01
-2.707070243553320877e+06,4.688786277303762734e+06,3.360488664198707789e+06,2.190346538354890793e+00,-8.506470234136154218e-02,-1.979245907511075764e-01
-2.707070881443669554e+06,4.688786988902129233e+06,3.360478795355121605e+06,2.309020476476658867e+00,3.298024470622432786e-02,-2.257064940267912989e-01
-2.707071827912544366e+06,4.688792200346564874e+06,3.360477058202708606e+06,2.288320730128531100e+00,1.679981926757601329e-01,1.535995929577171903e-02
-2.707064565501317848e+06,4.688782242872526869e+06,3.360492103563952725e+06,2.401812453897912203e+00,7.391617832719402093e-02,-5.140876154171520884e-01
-2.707070197727007326e+06,4.688785579593109898e+06,3.360485821970140561e+06,2.785423557789539206e+00,1.842891187122492336e-01,-3.403906055471161429e-01
-2.707068902744037099e+06,4.688783584828544408e+06,3.360483939234738704e+06,2.817763679965997969e+00,-1.617797847007812762e-01,-4.072718587957088743e-01
-2.707064584048814606e+06,4.688788223219824024e+06,3.360483897669570521e+06,3.056840793861654415e+00,-3.976432517915567955e-02,-4.694836829971043013e-01
-2.707069517729734536e+06,4.688783421214942820e+06,3.360483993366502691e+06,2.968216682573334264e+00,1.028989500791595464e-02,-2.023767409864835332e-01
-2.707064704630416352e+06,4.688788627992104739e+06,3.360477214288739022e+06,2.928467503150538054e+00,-6.157340194924090793e-02,-5.254769090430393419e-01
-2.707069279566064011e+06,4.688784294928363524e+06,3.360474821445156354e+06,3.063982965188994267e+00,-4.892784237068427411e-02,-3.359960022424087756e-01
-2.707065937902556732e+06,4.688783711771490052e+06,3.360488041037015617e+06,3.158440801094300809e+00,9.594136791320111504e-04,-3.818380231671720804e-01
-2.707067465597602073e+06,4.688785756618890911e+06,3.360471708173612598e+06,3.315736863363351716e+00,3.322757315121254579e-02,-3.916612829300005205e-01
-2.707067925030625891e+06,4.688787622162872925e+06,3.360487954846021254e+06,3.552614354036626843e+00,-6.178043735838623790e-03,-3.989590115585444074e-01
-2.707064210315706674e+06,4.688785663973771036e+06,3.360486324314158875e+06,3.425267900931394216e+00,8.851853010513442699e-02,-7.470911811901557176e-01
-2.707068705375716090e+06,4.688785084191500209e+06,3.360480827988945879e+06,3.457898291845344918e+00,7.497616150301686377e-02,-4.431831332899608955e-01
-2.707067725855577737e+06,4.688791222122517414e+06,3.360488213794826064e+06,3.682977357047704015e+00,2.580572983539533224e-02,-4.010845661084715408e-01
-2.707056635306519922e+06,4.688780882865034044e+06,3.360485069463433232e+06,3.785530263516320826e+00,6.286381345215893979e-02,-4.576394013076598433e-01
-2.707067064705493860e+06,4.688787470842375420e+06,3.360481941800100729e+06,3.839185951826373788e+00,-1.139168939223232906e-03,-5.955461480487755921e-01
-2.707065641746505164e+06,4.688781367498631589e+06,3.360480382690114435e+06,4.002112520361233550e+00,6.427576257126310644e-02,-6.136402753100057561e-01
-2.707066333429136313e+06,4.688781357707715593e+06,3.360480723244885914e+06,4.012711509400864962e+00,-6.182802447826712261e-02,-6.849900753875510784e-01
-2.707059886480146088e+06,4.688785760307800956e+06,3.360466245335618965e+06,4.131004685276835176e+00,-5.209934006509901044e-02,-7.564695766441800195e-01
-2.707066812874837779e+06,4.688786797105826437e+06,3.360480760180590674e+06,4.260842221834832522e+00,2.731832058308687056e-02,-4.142232699021396458e-01
-2.707060734201062471e+06,4.688781293463551439e+06,3.360483721243198961e+06,4.472562437296009996e+00,-3.739500633763001569e-02,-4.640192514692371706e-01
-2.707064143817299977e+06,4.688785914521711878e+06,3.360488252937853802e+06,4.498938399633787277e+00,6.465732363185892895e-02,-8.368420685139223991e-01
-2.707064633914172184e+06,4.688784392065931112e+06,3.360486291396872140e+06,4.602372162481802143e+00,8.378696303445665877e-03,-9.173869558716344352e-01
-2.707063041200625245e+06,4.688785484949601814e+06,3.360482228951311205e+06,4.725973299551758267e+00,8.005455478665764180e-02,-7.390262267264615659e-01
-2.707057181199328508e+06,4.688783756972587667e+06,3.360493426344538573e+06,4.797533487011641284e+00,-3.756866900291386258e-02,-8.959453578104618066e-01
