ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
2.310304035230377551e+01,2.310304035230378616e+01,3.784753251734257873e+01
