mag_x (uT),mag_y (uT),mag_z (uT)
2.346028831010599802e+01,2.341563006515635692e+01,3.782054610498135361e+01
2.293610251207341477e+01,2.301264095792176789e+01,3.784475365667919533e+01
2.298183266585051499e+01,2.291024277416355304e+01,3.811338201751113530e+01
2.284811190068758080e+01,2.290929454913194974e+01,3.760885748323514122e+01
2.277634024080933273e+01,2.302993077233998775e+01,3.826364284144371197e+01
2.288791443631508216e+01,2.327346680311644889e+01,3.775003626021783987e+01
2.313974028116768267e+01,2.313553333110777288e+01,3.768924874901355082e+01
2.299270526673722870e+01,2.302540083383563996e+01,3.774524696215578956e+01
2.281269397082914452e+01,2.262016652307100983e+01,3.774675679453857668e+01
2.323638934680056423e+01,2.293511595950699089e+01,3.811830819293398065e+01
2.336631720111437005e+01,2.332003365842870224e+01,3.791525462056045370e+01
2.294977017767500982e+01,2.279507282664645373e+01,3.822433497959350035e+01
2.322869001176768577e+01,2.286647139152021069e+01,3.803584283530814503e+01
2.315023296316816825e+01,2.331441049214528149e+01,3.774493642724009845e+01
2.314143329326318721e+01,2.307165875779214304e+01,3.804437710939695449e+01
2.312927725891566411e+01,2.322736023446579878e+01,3.782125965920993593e+01
2.312269642742540654e+01,2.313251180509743676e+01,3.735997938893616066e+01
2.340510202245459581e+01,2.331191214870120376e+01,3.792144248452315480e+01
2.292224155248261042e+01,2.297294877050772755e+01,3.764238315646266386e+01
2.295576287358804990e+01,2.342112372691007494e+01,3.781787865357998157e+01
2.290250268172894366e+01,2.304783257830244736e+01,3.764054544389659895e+01
2.304110894990290603e+01,2.286936450767908724e+01,3.809106160598634006e+01
2.374948240465766247e+01,2.303344621845165818e+01,3.745703516017058377e+01
2.300847757382564041e+01,2.296319795435152145e+01,3.786370534775713992e+01
2.358395303123087672e+01,2.315821009140924858e+01,3.807867902034867313e+01
2.322883640469358113e+01,2.290672202384216760e+01,3.781299916250112148e+01
2.298185735212443248e+01,2.312300806590042512e+01,3.791343487141978130e+01
2.276180232933511860e+01,2.322413938456280746e+01,3.779949274406770598e+01
2.296721871788410851e+01,2.289744059593976289e+01,3.795302700394967843e+01
2.303988379984597046e+01,2.308021761766244140e+01,3.824715654251292563e+01
2.335153147198199974e+01,2.310405383611696450e+01,3.749095001267921390e+01
2.344348324029363440e+01,2.330747301678508876e+01,3.777907040571140840e+01
2.282926366365692772e+01,2.299037504590411984e+01,3.787256827025356642e+01
2.310287759131869834e+01,2.287229764941739774e+01,3.781272383768565959e+01
