# 参考真值数据
# timestamp pos_x pos_y pos_z vel_x vel_y vel_z roll pitch yaw
# 单位: s, m, m, m, m/s, m/s, m/s, rad, rad, rad
200.970000 -2707009.453970 4689425.836594 3359844.081852 24.796910 21.867866 -3.454327 46.6323382089 0.8074354314 -0.7662051518
200.980000 -2707009.206001 4689426.055273 3359844.047309 24.814337 21.865080 -3.442112 46.6237695668 0.8031969561 -0.7621831068
200.990000 -2707008.957857 4689426.273924 3359844.012888 24.831747 21.862305 -3.429908 46.6152459042 0.7989807299 -0.7581821748
201.000000 -2707008.709540 4689426.492547 3359843.978588 24.849138 21.859541 -3.417716 46.6067669849 0.7947866359 -0.7542022449
201.010000 -2707008.461048 4689426.711142 3359843.944411 24.866512 21.856788 -3.405535 46.5983325740 0.7906145580 -0.7502432068
201.020000 -2707008.212383 4689426.929710 3359843.910356 24.883869 21.854046 -3.393366 46.5899424380 0.7864643806 -0.7463049510
201.030000 -2707007.963545 4689427.148250 3359843.876422 24.901209 21.851314 -3.381207 46.5815963443 0.7823359887 -0.7423873683
201.040000 -2707007.714532 4689427.366764 3359843.842610 24.918531 21.848593 -3.369060 46.5732940618 0.7782292681 -0.7384903501
201.050000 -2707007.465347 4689427.585249 3359843.808920 24.935837 21.845883 -3.356925 46.5650353605 0.7741441049 -0.7346137886
201.060000 -2707007.215989 4689427.803708 3359843.775350 24.953125 21.843184 -3.344800 46.5568200117 0.7700803859 -0.7307575764
201.070000 -2707006.966458 4689428.022140 3359843.741902 24.970396 21.840495 -3.332686 46.5486477878 0.7660379987 -0.7269216066
201.080000 -2707006.716754 4689428.240545 3359843.708575 24.987651 21.837816 -3.320584 46.5405184623 0.7620168311 -0.7231057729
201.090000 -2707006.466877 4689428.458923 3359843.675370 25.004889 21.835149 -3.308492 46.5324318102 0.7580167719 -0.7193099698
201.100000 -2707006.216828 4689428.677275 3359843.642285 25.022110 21.832491 -3.296411 46.5243876074 0.7540377103 -0.7155340920
201.110000 -2707005.966607 4689428.895600 3359843.609321 25.039315 21.829845 -3.284341 46.5163856310 0.7500795359 -0.7117780349
201.120000 -2707005.716214 4689429.113898 3359843.576477 25.056503 21.827208 -3.272282 46.5084256595 0.7461421393 -0.7080416945
201.130000 -2707005.465649 4689429.332170 3359843.543754 25.073675 21.824583 -3.260233 46.5005074723 0.7422254112 -0.7043249673
201.140000 -2707005.214912 4689429.550416 3359843.511152 25.090831 21.821967 -3.248196 46.4926308501 0.7383292432 -0.7006277503
201.150000 -2707004.964004 4689429.768636 3359843.478670 25.107970 21.819362 -3.236168 46.4847955747 0.7344535274 -0.6969499412
201.160000 -2707004.712924 4689429.986829 3359843.446308 25.125093 21.816767 -3.224152 46.4770014290 0.7305981564 -0.6932914380
201.170000 -2707004.461673 4689430.204997 3359843.414067 25.142201 21.814183 -3.212146 46.4692481972 0.7267630235 -0.6896521394
201.180000 -2707004.210251 4689430.423139 3359843.381945 25.159292 21.811608 -3.200150 46.4615356645 0.7229480223 -0.6860319445
201.190000 -2707003.958658 4689430.641255 3359843.349944 25.176368 21.809044 -3.188165 46.4538636172 0.7191530472 -0.6824307532
201.200000 -2707003.706895 4689430.859345 3359843.318062 25.193428 21.806491 -3.176190 46.4462318428 0.7153779931 -0.6788484657
201.210000 -2707003.454960 4689431.077410 3359843.286300 25.210472 21.803947 -3.164225 46.4386401299 0.7116227554 -0.6752849827
201.220000 -2707003.202856 4689431.295450 3359843.254658 25.227500 21.801413 -3.152270 46.4310882683 0.7078872301 -0.6717402055
201.230000 -2707002.950581 4689431.513464 3359843.223135 25.244513 21.798890 -3.140326 46.4235760487 0.7041713138 -0.6682140359
201.240000 -2707002.698135 4689431.731453 3359843.191732 25.261511 21.796376 -3.128392 46.4161032630 0.7004749034 -0.6647063762
201.250000 -2707002.445520 4689431.949416 3359843.160448 25.278494 21.793873 -3.116468 46.4086697043 0.6967978966 -0.6612171293
201.260000 -2707002.192735 4689432.167355 3359843.129284 25.295461 21.791379 -3.104554 46.4012751666 0.6931401915 -0.6577461986
201.270000 -2707001.939781 4689432.385269 3359843.098238 25.312413 21.788896 -3.092650 46.3939194451 0.6895016868 -0.6542934878
201.280000 -2707001.686657 4689432.603158 3359843.067312 25.329350 21.786422 -3.080756 46.3866023360 0.6858822818 -0.6508589013
201.290000 -2707001.433363 4689432.821022 3359843.036504 25.346272 21.783958 -3.068871 46.3793236366 0.6822818761 -0.6474423441
201.300000 -2707001.179900 4689433.038862 3359843.005815 25.363179 21.781505 -3.056997 46.3720831454 0.6787003701 -0.6440437214
201.310000 -2707000.926269 4689433.256677 3359842.975245 25.380071 21.779061 -3.045132 46.3648806617 0.6751376644 -0.6406629391
201.320000 -2707000.672468 4689433.474467 3359842.944794 25.396948 21.776626 -3.033277 46.3577159860 0.6715936606 -0.6372999036
201.330000 -2707000.418499 4689433.692234 3359842.914461 25.413811 21.774202 -3.021432 46.3505889200 0.6680682602 -0.6339545217
201.340000 -2707000.164360 4689433.909976 3359842.884247 25.430659 21.771787 -3.009596 46.3434992660 0.6645613658 -0.6306267007
201.350000 -2706999.910054 4689434.127694 3359842.854151 25.447493 21.769382 -2.997770 46.3364468279 0.6610728801 -0.6273163484
201.360000 -2706999.655579 4689434.345387 3359842.824173 25.464312 21.766986 -2.985953 46.3294314101 0.6576027066 -0.6240233732
201.370000 -2706999.400936 4689434.563057 3359842.794314 25.481117 21.764601 -2.974146 46.3224528184 0.6541507490 -0.6207476839
201.380000 -2706999.146125 4689434.780703 3359842.764572 25.497907 21.762224 -2.962349 46.3155108595 0.6507169119 -0.6174891896
201.390000 -2706998.891146 4689434.998325 3359842.734949 25.514684 21.759858 -2.950560 46.3086053410 0.6473010999 -0.6142478001
201.400000 -2706998.635999 4689435.215924 3359842.705443 25.531446 21.757500 -2.938781 46.3017360717 0.6439032187 -0.6110234258
201.410000 -2706998.380684 4689435.433499 3359842.676055 25.548194 21.755153 -2.927011 46.2949028613 0.6405231739 -0.6078159771
201.420000 -2706998.125202 4689435.651051 3359842.646785 25.564929 21.752814 -2.915251 46.2881055205 0.6371608721 -0.6046253653
201.430000 -2706997.869553 4689435.868579 3359842.617633 25.581649 21.750486 -2.903499 46.2813438611 0.6338162200 -0.6014515020
201.440000 -2706997.613737 4689436.086084 3359842.588598 25.598356 21.748166 -2.891757 46.2746176956 0.6304891250 -0.5982942993
201.450000 -2706997.357753 4689436.303565 3359842.559680 25.615048 21.745856 -2.880024 46.2679268378 0.6271794949 -0.5951536697
