ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
3.266922702933512568e+01,0.000000000000000000e+00,3.785024617906016431e+01
