ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
3.266907619847741273e+01,0.000000000000000000e+00,3.785071283314031376e+01
