mag_x (uT),mag_y (uT),mag_z (uT)
3.270752624677423626e+01,1.331896563708430403e-02,3.786079693325517326e+01
3.263234892256786424e+01,-1.971006315264769299e-02,3.782749834859866667e+01
3.275017536294902953e+01,1.288806967796796987e-01,3.788431443885559702e+01
3.264117065139767959e+01,-5.490002837394060420e-02,3.777952899045094171e+01
3.264698727980501047e+01,-3.701951305096087136e-02,3.779076045634857195e+01
3.262180613766380333e+01,4.332053676894806471e-02,3.786052955686776755e+01
3.263922339183007892e+01,-5.379109158069899504e-02,3.781056351440741992e+01
3.265669073125450694e+01,2.462860473684418822e-02,3.789005299858266085e+01
3.268152472071376735e+01,-3.094951615693259522e-02,3.793846389484229320e+01
3.263926891342308778e+01,2.509933642172260809e-02,3.776620263028420510e+01
3.257316791187319893e+01,-1.085577976225629397e-02,3.783063875832461065e+01
3.269157734519766478e+01,2.999421638304708079e-03,3.784909296829523129e+01
3.263517309508119979e+01,6.286614813276801550e-02,3.780490210695602116e+01
3.261416580913765273e+01,2.097097561751556927e-02,3.783133748413877129e+01
3.272729999192690542e+01,-1.902531089871746170e-02,3.780512709058137943e+01
3.270230500996250811e+01,1.599316126595029183e-02,3.778566862053550324e+01
3.268946737566123772e+01,-9.574182703175068698e-02,3.780588141410576242e+01
3.264160142539144260e+01,-4.875121063265822063e-02,3.777248718178574904e+01
3.263642266521782176e+01,4.118782385841893851e-02,3.783774471285546070e+01
3.257791777963886659e+01,5.360116298306125127e-02,3.784874199871869394e+01
3.259748034628653102e+01,-1.113053921852528300e-02,3.794573362925445537e+01
3.259880877720536319e+01,-8.482966043465305778e-03,3.781686355947321232e+01
3.266664579637249943e+01,-5.487354959238830571e-02,3.787732196056509792e+01
3.260407582989792985e+01,-3.607993464563239577e-02,3.788952228283329760e+01
3.266585034649542507e+01,4.462843852617014162e-02,3.788411750153407809e+01
3.267687200279258519e+01,8.574418630804500618e-02,3.789386327988842851e+01
3.267299608744167472e+01,1.754505289804786025e-02,3.789960079920530944e+01
3.258660549290599562e+01,3.659649204524674515e-02,3.786270576105670216e+01
3.257375384709904154e+01,1.060709759286995457e-01,3.783156755668466786e+01
3.268805298401824899e+01,6.754231158491759944e-03,3.784459837591823828e+01
3.255253698964267528e+01,-4.164180608973497288e-02,3.782728365329215592e+01
3.260896393274882143e+01,7.972962839209658467e-03,3.791112056554730714e+01
3.263903455198621373e+01,3.165722319464122497e-02,3.789001239129989074e+01
3.269168324432795458e+01,1.078923643482443684e-01,3.789830429162375935e+01
3.260330173575056278e+01,-4.889163083295763879e-02,3.783725268045809997e+01
3.274067201595862286e+01,1.087131154770554524e-03,3.785999692394310756e+01
3.275193263384943521e+01,-9.303391166814861668e-02,3.792598458908833692e+01
3.271196540543827780e+01,-1.156051057785043024e-02,3.786816648490601267e+01
3.275116666323401660e+01,-2.069959260257487124e-02,3.783760986428175954e+01
3.267883302190104189e+01,4.171452807630666310e-02,3.782527045391191933e+01
3.265749889374033188e+01,8.000418534287385974e-02,3.785008592903960079e+01
3.266037840235649270e+01,8.521039959633802674e-02,3.783166622001667889e+01
3.270859921239168955e+01,-4.453632026265682414e-02,3.786437207918431369e+01
3.262637065879820142e+01,-1.700504516684537767e-02,3.782152129081837444e+01
3.267946348073937202e+01,1.115810492270134791e-02,3.790839385437819686e+01
3.255555100803167790e+01,5.071480264931581966e-02,3.782159746017308777e+01
3.273333760106896761e+01,2.145543980227201941e-02,3.789194830017596161e+01
3.263232947963820862e+01,2.225388797172218880e-03,3.780634561642419555e+01
3.267655727072585137e+01,-4.422141145207782176e-02,3.783006737148176057e+01
3.265230882923744815e+01,1.436128006555831629e-02,3.784893526559188359e+01
3.265112078691763742e+01,2.374612305635290244e-02,3.793571398564058939e+01
3.263441596579393433e+01,-5.896446543266460616e-02,3.785201820040159504e+01
3.263389342130967208e+01,-7.666690188919403348e-02,3.789882812973517900e+01
3.266010343792162018e+01,-2.031067368966117323e-02,3.777288167237399819e+01
3.264158999834739916e+01,4.487486873477741084e-02,3.794056122450237467e+01
3.269502310419640168e+01,-3.166076887438416809e-02,3.794279346027383326e+01
3.268628693376229677e+01,-3.059773788443451159e-02,3.792264399189431145e+01
3.268297791244161488e+01,3.361529913118476570e-02,3.777652227825847575e+01
3.267520912310105530e+01,-5.468073151594689263e-02,3.785279604134497333e+01
3.267900740745313470e+01,2.714422807601633153e-02,3.785003729581457321e+01
3.266283449183358556e+01,-6.499921759142011923e-02,3.783837207927037838e+01
3.272349768806030568e+01,-8.875167752748752692e-02,3.780344147760625617e+01
3.271119555959070624e+01,-7.621435873480969514e-02,3.787541326688497634e+01
3.263201219041243206e+01,3.342277591391863700e-02,3.794224775389050563e+01
3.262261923499391258e+01,-9.616851495279810091e-02,3.791608544740266495e+01
3.270244425188310800e+01,-5.721607274440970725e-02,3.777171989169864474e+01
3.266076652313913797e+01,-3.172000457718941735e-02,3.787509228240937631e+01
3.264888930522009503e+01,3.159801763148217119e-02,3.786164382721639754e+01
3.263320589130791660e+01,1.221887837129805449e-01,3.790350171790765188e+01
3.263876525432134201e+01,7.600612539575399285e-02,3.789912085841602618e+01
3.269767904098430478e+01,-8.574543661318004273e-03,3.779391422293759462e+01
3.265452376731730055e+01,-1.402920052738803117e-02,3.789756039884290573e+01
3.272415858169659231e+01,-9.875524494504274442e-03,3.783336852580053034e+01
3.267788559315029318e+01,-4.053638877507878546e-02,3.794098283102328395e+01
3.276158878432238453e+01,4.087713313240987772e-02,3.784203845793248178e+01
3.273833103870874339e+01,2.343765108745092529e-02,3.788233551533332388e+01
3.275434628404893544e+01,6.473936626366946778e-02,3.773535684810009627e+01
3.271828830847899638e+01,8.327626194437528009e-03,3.782156484404626440e+01
3.265725680654536944e+01,-4.214000969203305497e-02,3.779891949273835650e+01
3.262492585882193197e+01,-1.569339874952003708e-02,3.783454046776233071e+01
3.266931225143694206e+01,-4.286013566611892450e-02,3.788606711693062579e+01
3.265568798481145052e+01,-7.957938815802275898e-03,3.781127855076803002e+01
3.263849432179694077e+01,2.432930432397849285e-02,3.785047706578987459e+01
3.260932875884859783e+01,-1.795112711418255999e-02,3.779322636618174158e+01
3.258280460376273169e+01,3.253830742687042338e-02,3.776999088247546865e+01
3.261357040974709065e+01,-4.757064770890853667e-02,3.788620374102173827e+01
3.269983634569436504e+01,5.110178054685428350e-02,3.781534636465047328e+01
3.260495482022471947e+01,-8.200816425202850368e-02,3.789584170128505747e+01
3.263075862304801689e+01,-7.698088637755184926e-02,3.777012746487330475e+01
3.276226039957916214e+01,8.953047316414122769e-02,3.782112091281913280e+01
3.270519867441819173e+01,-1.759647392148197195e-02,3.785312924298965243e+01
3.267565703296200041e+01,-1.291783962374477013e-01,3.785408968815769981e+01
3.268561001573087310e+01,-1.532422348936482263e-02,3.784571620550962479e+01
3.262574864364245997e+01,-1.837712574448701480e-02,3.785675768808883390e+01
3.266130092374093152e+01,-8.163349253837935693e-02,3.790883699549325314e+01
3.263880037057047900e+01,-2.408222760122148698e-02,3.767167465480873290e+01
3.269167698988244553e+01,4.834595955224329361e-02,3.788094030073596485e+01
3.263063861266677890e+01,-1.073120259087452233e-01,3.775077489142876175e+01
3.266510040610258159e+01,2.108874961078050295e-02,3.781593044411278726e+01
3.262435231515666345e+01,-5.210059749769391235e-02,3.788730087355112630e+01
3.262134929173640785e+01,-5.773638001517379659e-02,3.779672060724882243e+01
3.265212533083475677e+01,-2.670394590016231251e-02,3.784159583296092677e+01
3.266295048452555960e+01,2.964134452813359244e-02,3.784509824363845354e+01
3.269947382564365768e+01,-4.751570851224162784e-02,3.781544637381775686e+01
3.269981175460526401e+01,-3.994060082628007879e-02,3.787661315999122991e+01
3.269913967266495547e+01,2.369039254377346831e-02,3.779455177556993561e+01
3.262950671836205885e+01,3.698826997648373832e-02,3.783751030277971950e+01
3.266858162395340770e+01,1.553624688645967311e-02,3.797330407111552830e+01
3.270875526914984022e+01,-3.133177662960436732e-02,3.783578434900901755e+01
3.265828729848178114e+01,4.286532918590096886e-02,3.778484436054563389e+01
3.269738736201973239e+01,-8.716859383325245569e-02,3.772075074138465567e+01
3.269124559806795105e+01,5.499271571936459324e-02,3.782259667838456352e+01
3.266306268292051840e+01,-2.292319706841526930e-02,3.798750822130816829e+01
3.267218567719055500e+01,-7.097666022391310725e-02,3.782588462379256100e+01
3.267326502850190195e+01,-2.871839997600936223e-02,3.784821643358448995e+01
3.261603503171191676e+01,-9.819347981404638603e-02,3.774526329992485074e+01
3.260265790564302080e+01,5.108118123297011176e-02,3.786845954093270450e+01
3.261658814887689317e+01,-2.043774007270200005e-02,3.792334341359417493e+01
3.266345464973648660e+01,-3.972157349162538931e-02,3.779961118380947482e+01
3.264184496422337389e+01,-6.010312394226569217e-03,3.788594178428819248e+01
