accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-3.834594947791321751e-03,1.502540388486452551e-03,-9.792075013184376786e+00
-6.048100134030237260e-03,2.922747032346371520e-03,-9.808684592788505796e+00
6.626012976881126906e-03,-5.445270045994261669e-03,-9.783896142667812157e+00
5.371214733994326279e-03,-6.110324210395163408e-03,-9.775785554647551834e+00
-3.994837577272362071e-03,1.101900768426978790e-03,-9.797875860091602718e+00
-6.054484376564406127e-03,3.603466997432531907e-04,-9.802397906706779906e+00
1.196891528654028293e-02,2.841755592317935213e-03,-9.790951249974929382e+00
-6.280828139152217111e-03,-2.084336254178204527e-03,-9.793942141179103444e+00
1.725529954435802479e-03,-4.025097494065005103e-03,-9.791710709454561012e+00
2.079071020602636828e-03,2.966898641664128013e-03,-9.786853458199392009e+00
5.369559635580150453e-03,-7.198484273094070580e-03,-9.802070662893635600e+00
-1.041571480856074610e-03,-7.682601069727937890e-04,-9.792808732560478902e+00
-1.909268799486968371e-03,-1.211938155872484095e-02,-9.783385431898132367e+00
7.875189229840529742e-03,-1.919705719080727754e-03,-9.785062024420721372e+00
2.889948494088908065e-03,3.584963151509943519e-03,-9.800604711679945069e+00
-7.363789744042545382e-03,2.580119401696911053e-03,-9.793580831126240227e+00
7.116888260971609807e-04,-1.841334817659275166e-03,-9.790138036909722175e+00
-4.137646438996986364e-03,1.167271110077785752e-03,-9.802322044932981981e+00
4.012341898521168057e-03,-2.212759960084123654e-03,-9.777301874526470371e+00
-2.614209088884734901e-04,-3.693019365856110240e-03,-9.810946186564908800e+00
-1.095355814320168267e-03,4.813079392874436598e-03,-9.812134260497126448e+00
4.788628892111999359e-03,9.078380743660611650e-04,-9.801210974448670399e+00
-1.010678419908173224e-05,-2.619448236592588752e-03,-9.786991848208939970e+00
-3.253308614479135438e-03,4.521366840670048952e-03,-9.781359612994540598e+00
-2.472325409142523290e-03,-2.835679660766724560e-03,-9.792705883847075299e+00
8.429028953562471907e-03,7.913540976542786029e-03,-9.777296962399411484e+00
1.050623506371528397e-02,9.707772654290865123e-04,-9.793021634325405955e+00
9.012380644450106951e-04,-2.189664815864505044e-04,-9.806576483578504977e+00
5.106907093002030495e-03,-5.221006587329735452e-03,-9.789524469454271127e+00
